Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/142241,1,0,42.23462100026154,42.23462100026154,42.23462100026154,42.23462100026154,119.0,0.0035232410796598814,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/products/14262,2,0,27.00734200016086,35.05199250002988,27.00734200016086,43.096642999898904,116.0,0.007046482159319763,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/products/14279,1,0,28.712171999814018,28.712171999814018,28.712171999814018,28.712171999814018,126.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/143895,1,0,26.40510900027948,26.40510900027948,26.40510900027948,26.40510900027948,127.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/144770,3,0,24,24.533792666564597,21.863269999812474,28.14203699972495,119.0,0.010569723238979645,0.0,24,24,28,28,28,28,28,28,28,28,28
GET,/products/145578,2,0,25.484288999905402,29.024157499861758,25.484288999905402,32.564025999818114,127.0,0.007046482159319763,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/products/146236,1,0,24.487392000082764,24.487392000082764,24.487392000082764,24.487392000082764,119.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/147946,1,0,25.23669299989706,25.23669299989706,25.23669299989706,25.23669299989706,117.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/148605,2,0,28.205377999711345,34.977125999830605,28.205377999711345,41.748873999949865,123.0,0.007046482159319763,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/products/149180,1,0,44.54673199984427,44.54673199984427,44.54673199984427,44.54673199984427,127.0,0.0035232410796598814,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/products/149204,1,0,29.009089000282984,29.009089000282984,29.009089000282984,29.009089000282984,129.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/150685,1,0,24.965758000234928,24.965758000234928,24.965758000234928,24.965758000234928,123.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/152296,2,0,24,26.28076299993154,23.81466899987572,28.746856999987358,129.0,0.007046482159319763,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/155058,3,0,29,32.35634133337347,25.822390000030282,42.54581000031976,118.0,0.010569723238979645,0.0,29,29,43,43,43,43,43,43,43,43,43
GET,/products/155161,1,0,26.604109999880166,26.604109999880166,26.604109999880166,26.604109999880166,119.0,0.0035232410796598814,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/156679,1,0,28.030100000250968,28.030100000250968,28.030100000250968,28.030100000250968,117.0,0.0035232410796598814,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/156884,1,0,29.182765999848925,29.182765999848925,29.182765999848925,29.182765999848925,129.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/157397,2,0,26,26.861528999916118,25.797563000196533,27.925494999635703,119.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/157652,1,0,41.721280999809096,41.721280999809096,41.721280999809096,41.721280999809096,119.0,0.0035232410796598814,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/products/157687,3,0,28,28.35076500006532,27.772304000109216,29.27365599998666,118.0,0.010569723238979645,0.0,28,28,29,29,29,29,29,29,29,29,29
GET,/products/158698,3,0,27.21005100011098,28.291814000112936,27.21005100011098,30.300522000288765,119.0,0.010569723238979645,0.0,27,27,30,30,30,30,30,30,30,30,30
GET,/products/159134,2,0,25,28.212514499955432,24.604177000128402,31.820851999782462,118.0,0.007046482159319763,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/159472,4,0,28,28.822230750051858,25.230181000097218,33.16871400011223,125.0,0.014092964318639526,0.0,29,29,33,33,33,33,33,33,33,33,33
