Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/146747,2,0,28.419356999620504,29.018549999818788,28.419356999620504,29.61774300001707,118.0,0.007121835539590319,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/148494,1,0,25.263087999519485,25.263087999519485,25.263087999519485,25.263087999519485,123.0,0.0035609177697951593,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/14901,1,0,29.30198499961989,29.30198499961989,29.30198499961989,29.30198499961989,125.0,0.0035609177697951593,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/149349,2,0,32.02644200064242,32.14956900046673,32.02644200064242,32.272696000291035,118.0,0.007121835539590319,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/150153,3,0,27,29.881065333029255,26.042446999781532,36.281605000112904,124.0,0.010682753309385477,0.0,27,27,36,36,36,36,36,36,36,36,36
GET,/products/150708,1,0,25.824811000347836,25.824811000347836,25.824811000347836,25.824811000347836,127.0,0.0035609177697951593,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/15079,1,0,23.560653000458842,23.560653000458842,23.560653000458842,23.560653000458842,117.0,0.0035609177697951593,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/151323,1,0,28.344015000584477,28.344015000584477,28.344015000584477,28.344015000584477,119.0,0.0035609177697951593,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/151454,1,0,56.47232600040297,56.47232600040297,56.47232600040297,56.47232600040297,124.0,0.0035609177697951593,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/products/153278,2,0,22,23.536743000022398,21.84677199966245,25.226714000382344,123.0,0.007121835539590319,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/153803,1,0,26.934675000120478,26.934675000120478,26.934675000120478,26.934675000120478,117.0,0.0035609177697951593,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/15556,3,0,27,25.83022100012992,21.38801599994622,28.936049000549247,126.0,0.010682753309385477,0.0,27,27,29,29,29,29,29,29,29,29,29
GET,/products/156603,2,0,24.039367000113998,27.729262500088225,24.039367000113998,31.419158000062453,128.0,0.007121835539590319,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/products/159195,1,0,41.16190900003858,41.16190900003858,41.16190900003858,41.16190900003858,123.0,0.0035609177697951593,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/products/159284,5,0,32,34.91544620010245,26.94104000056541,46.10571000011987,127.0,0.017804588848975796,0.0,32,39,39,46,46,46,46,46,46,46,46
GET,/products/160866,1,0,25.465501000326185,25.465501000326185,25.465501000326185,25.465501000326185,129.0,0.0035609177697951593,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/162692,2,0,24,28.653833499902248,23.60015999965981,33.70750700014469,126.0,0.007121835539590319,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/products/164896,3,0,26,27.09988233345939,25.410871000531188,29.704176999985066,129.0,0.010682753309385477,0.0,26,26,30,30,30,30,30,30,30,30,30
GET,/products/167171,1,0,21.76247500028694,21.76247500028694,21.76247500028694,21.76247500028694,118.0,0.0035609177697951593,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/products/167305,3,0,27,26.762563999909617,25.022275000083027,28.357193999909214,124.0,0.010682753309385477,0.0,27,27,28,28,28,28,28,28,28,28,28
GET,/products/168282,1,0,27.179534999959287,27.179534999959287,27.179534999959287,27.179534999959287,124.0,0.0035609177697951593,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/products/169014,1,0,28.675696999926004,28.675696999926004,28.675696999926004,28.675696999926004,118.0,0.0035609177697951593,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/171772,2,0,26,25.921394500073802,25.54543000042031,26.297358999727294,128.0,0.007121835539590319,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/171824,1,0,24.550967999857676,24.550967999857676,24.550967999857676,24.550967999857676,127.0,0.0035609177697951593,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/172887,2,0,21.368910999626678,28.607959999590094,21.368910999626678,35.84700899955351,126.0,0.007121835539590319,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/products/172913,2,0,26,28.638409999530268,25.67287299916643,31.603946999894106,127.0,0.007121835539590319,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/172915,1,0,27.55533299932722,27.55533299932722,27.55533299932722,27.55533299932722,128.0,0.0035609177697951593,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/173483,1,0,26.237791000312427,26.237791000312427,26.237791000312427,26.237791000312427,129.0,0.0035609177697951593,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/173717,1,0,23.968695999428746,23.968695999428746,23.968695999428746,23.968695999428746,118.0,0.0035609177697951593,0.0,24,24,24,24,24,24,24,24,24,24,24
